"* Required Fields","* 必須項目","1"
"%s was added to your shopping cart.","%sをショッピングカートに追加しました。","1"
"%s was updated in your shopping cart.","%s が更新されました。","1"
"Add coupon code for shopping cart","カートの商品にクーポンを適用する","1"
"Add gift messages to shopping cart","カートの商品にギフトメッセージを追加する","1"
"Add New Address","住所を追加","1"
"Add New Condition","新しい条件を追加","1"
"Add product to shopping cart","カートに商品を追加する","1"
"Add product(s) to shopping cart","カートに商品を追加する","1"
"Add to Cart","カートに入れる","1"
"Add to Compare","比較リストに追加","1"
"Add to Wishlist","欲しいものリストに追加","1"
"Additional Product Info","追加商品情報","1"
"Address","番地","1"
"Address %s of %s","住所%s の %s","1"
"After Adding a Product Redirect to Shopping Cart","商品を追加後にショッピングカート画面にリダイレクトする。","1"
"Allow Guest Checkout","ゲストチェックアウトを有効","1"
"Already registered?","登録はお済みですか？","1"
"An error occurred in the process of payment","決済処理中にエラーが発生しました","1"
"An error occurred while deleting this condition.","条件の削除中にエラーが発生しました。","1"
"An error occurred while saving this condition.","条件の保存中にエラーが発生しました。","1"
"Apply Coupon","クーポンを適用","1"
"Are you sure you would like to remove this item from the shopping cart?","このアイテムをショッピングカートから削除してもよろしいですか？","1"
"Back","戻る","1"
"Back to Billing Information","請求先情報に戻る","1"
"Back to Select Addresses","住所選択に戻る","1"
"Back to Shipping Information","発送情報に戻る","1"
"Back to Shopping Cart","ショッピングカートに戻る","1"
"Based on your selection, you may be interested in the following items:","あなたへのおすすめ","1"
"Billing Address","購入者住所","1"
"Billing Information","購入者情報","1"
"Billing Information - %s","購入者情報 - %s","1"
"Cancel Coupon","クーポンをキャンセルする","1"
"Cannot add item to the shopping cart.","商品をショッピングカートに追加できません。","1"
"Cannot add the item to shopping cart","商品をショッピングカートに追加できません。","1"
"Cannot add the item to shopping cart.","商品をショッピングカートに追加できません。","1"
"Cannot apply the coupon code.","クーポンコードを適用できません。","1"
"Cannot configure product.","商品を構成できません。","1"
"Cannot open the overview page","確認画面を開けません。","1"
"Cannot process the item.","商品を処理できません","1"
"Cannot remove the item.","商品を削除できません。","1"
"Cannot update shopping cart.","ショッピングカートを更新できません。","1"
"Cannot update the item.","商品を更新できません。","1"
"Card Verification Number Visual Reference","カード確認番号ビジュアルリファレンス","1"
"Cart Product API","カート商品API","1"
"Cart Subtotal:","カート内小計：","1"
"Change","変更","1"
"Change Billing Address","購入者住所変更","1"
"Checkbox Text","チェックボックスのラベル","1"
"Checkout","レジに進む","1"
"Checkout as a Guest or Register","ゲストまたは会員として購入","1"
"Checkout as Guest","ゲストとして購入","1"
"Checkout Conditions","購入条件","1"
"Checkout Method","購入方法","1"
