" Copy","コピー","1"
"Action","アクション","1"
"Add New Template","新しいテンプレートの追加","1"
"Add to Queue","キューに追加","1"
"Allow Guest Subscription","ゲスト購読を許可する","1"
"An error occurred while saving your subscription.","購読処理中にエラーが発生しました。","1"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？","1"
"Are you sure that you want to strip all tags?","タグを全て除去してもいいですか？","1"
"Back","戻る","1"
"Cancel","キャンセル","1"
"Cancelled","キャンセル済","1"
"Cannot mark as received subscriber.","確認済みの購読者として処理できませんでした。","1"
"Confirmation Email Sender","確認メール送信者","1"
"Confirmation Email Template","確認メールテンプレート","1"
"Confirmation request has been sent.","確認要求を送信しました。","1"
"Convert to Plain Text","プレーンテキストに変換","1"
"Create Newsletter Template","新しいメールテンプレートを作成","1"
"Customer","顧客","1"
"Customer First Name","顧客名","1"
"Customer Last Name","顧客姓","1"
"Customer My Account Newsletter Subscriptions","マイページメールマガジン購読","1"
"Date Added","登録日","1"
"Date Updated","更新日","1"
"Delete","削除","1"
"Delete Selected Problems","選択した問題を削除する","1"
"Delete Template","テンプレートの削除","1"
"Do you really want to cancel the queue?","キューをキャンセルしてもいいですか？","1"
"Duplicate template code.","テンプレートコードが重複しています。","1"
"Edit Newsletter","メールマガジンの編集","1"
"Edit Newsletter Template","メールマガジンテンプレートの編集","1"
"Edit Queue","キューを編集","1"
"Edit Template","テンプレートの編集","1"
"Email","Eメール","1"
"Enter your email address","メールアドレスを入力してください","1"
"Error Code","エラーコード","1"
"Error Text","エラーテキスト","1"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","こちらのリンクから購読解除できます <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","1"
"Guest","ゲスト様","1"
"ID","ID","2"
"Invalid queue selected.","不正なキューが選択されました。","1"
"Invalid subscription confirmation code.","不正な購読確認コードです。","1"
"Invalid subscription ID.","不正な購読ID.","1"
"Message","メッセージ","1"
"Need to Confirm","確認が必要","1"
"New Newsletter Template","新規メールマガジンテンプレート","1"
"New Template","新規テンプレート","1"
"Newsletter","メールマガジン","1"
"Newsletter Message Preview","メールマガジンプレビュー","1"
"Newsletter Problem Reports","メールマガジン問題報告","1"
"Newsletter Queue","メールマガジンキュー","1"
"Newsletter Section","メールマガジン","1"
"Newsletter Sign-up:","メールマガジン購読:","1"
"Newsletter Styles","メールマガジン形式","1"
"Newsletter Subscribers","メールマガジン購読者","1"
"Newsletter Subscription","メールマガジン購読","1"
"Newsletter subscription confirmation","ニュースレター購読確認","1"
"Newsletter Subscription Form Before","メールマガ時購読フォームの前","1"
"Newsletter subscription success","ニュースレター購読成功","1"
"Newsletter Subscriptions","メールマガジン購読","1"
"Newsletter Templates","メールマガジンテンプレート","1"
"Newsletter unsubscription success","ニュースレター解約成功","1"
"No problems found.","問題はありません。","1"
"No subscribers selected.","購読者が選択されていません。","1"
"No Templates Found","テンプレートが見つかりませんでした","1"
"Not Activated","未アクティブ","1"
"Not Sent","未送信","1"
"Pause","ポーズ","1"
"Paused","ポーズ","1"
"Please enter a valid email address.","正しいメールアドレスを入力してください。","1"
"Please enter new template name","新しいテンプレート名を入力してください","1"
"Please refer to exeption.log","exeption.logを参照してください","1"
"Please select subscriber(s)","購読者を選択してください","1"
"Preview","プレビュー","1"
"Preview Template","テンプレートのプレビュー","1"
"Processed","処理完了","1"
"Queue Date Start","キュー開始日","1"
"Queue Finish","キュー終了日","1"
"Queue Information","キュー情報","1"
"Queue Newsletter...","メールマガジンキューイング中","1"
"Queue Start","キュー開始","1"
"Queue Subject","キュータイトル","1"
"Recipients","受取人","1"
"Reset","リセット","1"
"Resume","レジューム","1"
"Return HTML Version","HTMLバージョン","1"
"Save and Resume","保存して続ける","1"
"Save As","名前をつけて保存","1"
"Save Newsletter","メールマガジンの保存","1"
"Save Template","テンプレートの保存","1"
"Selected problem subscribers have been unsubscribed.","選択した購読者を購読解除しました。","1"
"Selected problems have been deleted.","選択した問題を削除しました。","1"
"Sender","送信者","1"
"Sender Email","送信者アドレス","1"
"Sender Name","送信者名","1"
"Sending","送信中","1"
"Sent","送信済","1"
"Sign up for our newsletter","メールマガジンを購読","1"
"Sign Up for Our Newsletter:","メールマガジンをご購読ください:","1"
